geoid,name,B25024001,"B25024001, Error",B25024002,"B25024002, Error",B25024003,"B25024003, Error",B25024004,"B25024004, Error",B25024005,"B25024005, Error",B25024006,"B25024006, Error",B25024007,"B25024007, Error",B25024008,"B25024008, Error",B25024009,"B25024009, Error",B25024010,"B25024010, Error",B25024011,"B25024011, Error"
05000US21115,"Johnson County, KY",10530,41,6271,410,68,61,52,49,351,138,408,180,253,157,110,98,163,107,2854,373,0,24
05000US21117,"Kenton County, KY",72896,61,49511,991,3105,358,3531,451,3245,397,3783,517,5103,622,1085,220,1942,298,1523,319,68,52
05000US21119,"Knott County, KY",6695,20,4223,339,44,56,45,32,22,21,61,53,101,47,12,17,4,6,2183,330,0,20
05000US21121,"Knox County, KY",13824,64,7895,538,30,32,310,136,313,141,545,314,252,151,75,53,106,59,4290,477,8,14
05000US21123,"Larue County, KY",6542,35,5458,191,13,15,112,63,11,21,117,92,41,42,0,20,0,20,790,171,0,20
05000US21125,"Laurel County, KY",26705,83,16336,556,170,91,711,323,971,258,876,274,303,141,95,77,98,74,7042,548,103,84
05000US21127,"Lawrence County, KY",7575,18,4674,318,0,20,38,39,54,37,212,110,88,58,52,36,0,20,2457,319,0,20
05000US21129,"Lee County, KY",3227,21,2288,154,0,18,30,29,42,37,113,58,16,13,29,27,14,16,685,126,10,21
05000US21131,"Leslie County, KY",4913,16,3166,365,26,42,4,7,0,20,0,20,0,20,64,62,2,6,1651,359,0,20
05000US21133,"Letcher County, KY",10594,32,6795,338,31,25,99,83,97,46,122,71,93,53,25,24,12,12,3307,359,13,22
05000US21135,"Lewis County, KY",6072,34,4079,219,12,15,112,65,36,33,207,105,79,57,4,7,0,20,1521,212,22,27
05000US21137,"Lincoln County, KY",10869,24,8006,314,89,92,131,59,199,97,180,67,15,20,5,9,0,24,2242,287,2,9
05000US21139,"Livingston County, KY",4617,19,3334,244,45,37,25,23,9,9,20,24,10,12,0,18,7,12,1167,233,0,18
05000US21141,"Logan County, KY",12459,24,9715,351,163,114,473,222,336,153,264,114,50,53,47,36,0,24,1401,243,10,15
05000US21143,"Lyon County, KY",4806,48,3500,223,30,24,44,33,203,91,126,61,52,45,25,20,2,4,824,173,0,18
05000US21145,"McCracken County, KY",32155,58,20982,634,745,189,1653,355,1907,384,1554,346,468,179,341,218,1218,339,3228,389,59,49
05000US21147,"McCreary County, KY",6919,35,4423,391,113,44,114,123,266,234,20,21,35,47,55,41,0,20,1866,332,27,27
05000US21149,"McLean County, KY",4171,17,3094,169,3,4,46,34,33,43,93,54,83,48,18,22,66,56,735,161,0,18
